OBJECTID,市区町村コード,施設名,住所,避難施設の種類,収容人数,緯度,経度
1,27103,下福島中学校,大阪府大阪市福島区玉川1-4-11,収容避難所、一時避難所,1000,34.688476,135.481831
2,27103,海老江西小学校,大阪府大阪市福島区海老江8-1-10,収容避難所、一時避難所,1800,34.697697,135.470193
3,27103,海老江東小学校,大阪府大阪市福島区海老江1-6-19,収容避難所、一時避難所,1500,34.699114,135.475414
4,27103,吉野小学校,大阪府大阪市福島区吉野3-10-5,収容避難所、一時避難所,1500,34.69042,135.473081
5,27103,玉川小学校,大阪府大阪市福島区玉川2-13-16,収容避難所、一時避難所,1000,34.691892,135.480664
6,27103,鷺洲小学校,大阪府大阪市福島区鷺洲5-6-8,収容避難所、一時避難所,1200,34.698836,135.479109
7,27103,上福島小学校,大阪府大阪市福島区福島7-4-33,収容避難所、一時避難所,1300,34.69717,135.485108
8,27103,西野田工科高等学校,大阪府大阪市福島区大開2-17-62,収容避難所、一時避難所,6000,34.693225,135.469526
9,27103,大開小学校,大阪府大阪市福島区大開2-10-28,収容避難所、一時避難所,650,34.692587,135.470609
10,27103,八阪中学校,大阪府大阪市福島区鷺洲6-1-13,収容避難所、一時避難所,1000,34.700891,135.47797
11,27103,福島小学校,大阪府大阪市福島区福島4-5-6,収容避難所、一時避難所,1200,34.693448,135.483525
12,27103,野田小学校,大阪府大阪市福島区野田5-13-22,収容避難所、一時避難所,1450,34.686365,135.473609
13,27103,野田中学校,大阪府大阪市福島区吉野5-9-4,収容避難所、一時避難所,400,34.687226,135.468915
14,27104,もと・此花総合高等学校,大阪府大阪市此花区酉島2-3-16,収容避難所、一時避難所,5900,34.685559,135.443529
15,27104,高見小学校,大阪府大阪市此花区高見1-3-35,収容避難所、一時避難所,3900,34.690615,135.460388
16,27104,此花中学校,大阪府大阪市此花区高見2-14-31,収容避難所、一時避難所,5400,34.690003,135.455416
17,27104,四貫島小学校,大阪府大阪市此花区四貫島2-16-29,収容避難所、一時避難所,2500,34.685143,135.454278
18,27104,春日出小学校,大阪府大阪市此花区春日出中1-13-23,収容避難所、一時避難所,4200,34.680477,135.452528
19,27104,春日出中学校,大阪府大阪市此花区春日出南1-2-8,収容避難所、一時避難所,1000,34.678727,135.457694
20,27104,西九条小学校,大阪府大阪市此花区西九条4-3-41,収容避難所、一時避難所,2500,34.682477,135.464693
21,27104,伝法小学校,大阪府大阪市此花区伝法3-13-10,収容避難所、一時避難所,3400,34.690392,135.451639
22,27104,酉島小学校,大阪府大阪市此花区酉島2-5-12,収容避難所、一時避難所,4700,34.685476,135.442279
23,27104,梅香小学校,大阪府大阪市此花区梅香3-17-29,収容避難所、一時避難所,3100,34.682365,135.45525
24,27104,梅香中学校,大阪府大阪市此花区春日出北3-12-24,収容避難所、一時避難所,3500,34.681587,135.445584
25,27104,淀之水学院,大阪府大阪市此花区朝日1-1-9,収容避難所、一時避難所,2000,34.685087,135.461916
26,27106,花乃井中学校,大阪府大阪市西区江戸堀2-8-29,収容避難所、一時避難所,1389,34.686421,135.489052
27,27106,九条北小学校,大阪府大阪市西区九条南4-7-38,収容避難所、一時避難所,2475,34.676505,135.468249
28,27106,西船場小学校,大阪府大阪市西区江戸堀1-21-28,収容避難所、一時避難所,1750,34.688393,135.493719
29,27106,堀江小学校,大阪府大阪市西区北堀江3-2-16,収容避難所、一時避難所,2200,34.674034,135.489886
30,27106,堀江中学校,大阪府大阪市西区南堀江3-5-7,収容避難所、一時避難所,1300,34.670645,135.489664
31,27106,明治小学校,大阪府大阪市西区阿波座2-3-35,収容避難所、一時避難所,1200,34.680255,135.491497
32,27106,靱幼稚園,大阪府大阪市西区靱本町1-19-13,収容避難所、一時避難所,300,34.683977,135.49408
33,27107,磯路小学校,大阪府大阪市港区磯路3-7-7,収容避難所、一時避難所,3210,34.665034,135.456389
34,27107,港区民センター,大阪府大阪市港区弁天2-1-5,収容避難所、一時避難所,360,34.66774,135.458856
35,27107,港高等学校,大阪府大阪市港区波除2-3-1,収容避難所、一時避難所,7290,34.671061,135.465416
36,27107,港南中学校,大阪府大阪市港区三先1-5-28,収容避難所、一時避難所,7230,34.659951,135.457028
37,27107,市岡高等学校,大阪府大阪市港区市岡元町2-12-12,収容避難所、一時避難所,10000,34.66759,135.466166
