OBJECTID,N10_004,POINT_X,POINT_Y,OrderNum
1,国道2号,135.4952891,34.69845516,1
2,国道2号,135.4850731,34.69479552,2
3,国道2号,135.4749767,34.693965,3
4,国道2号,135.4675518,34.70087719,4
5,国道2号,135.4603935,34.70770338,5
6,国道2号,135.4515257,34.71290443,6
7,国道2号,135.4433822,34.71926266,7
8,国道2号,135.4328518,34.71962495,8
9,国道2号,135.4219671,34.71988874,9
10,国道2号,135.4114026,34.72233144,10
11,国道2号,135.4008972,34.72504269,11
12,国道2号,135.3910883,34.72912298,12
13,国道2号,135.3805603,34.73171367,13
14,国道2号,135.3699736,34.73405431,14
15,国道2号,135.3592353,34.7359835,15
16,国道2号,135.3483996,34.73757991,16
17,国道2号,135.3375007,34.73858623,17
18,国道2号,135.3267697,34.73706158,18
19,国道2号,135.3162606,34.73428613,19
20,国道2号,135.3056584,34.7321457,20
21,国道2号,135.2952771,34.7291941,21
22,国道2号,135.2849534,34.72587762,22
23,国道2号,135.2747327,34.7226465,23
24,国道2号,135.2645726,34.71936992,24
25,国道2号,135.2540996,34.71698669,25
26,国道2号,135.2438586,34.71358023,26
27,国道2号,135.2337413,34.70995721,27
28,国道2号,135.2251747,34.70540052,28
29,国道2号,135.2162031,34.70235412,29
30,国道2号,135.2063028,34.69833529,30
31,国道2号,135.196883,34.69416581,31
32,国道2号,135.1981902,34.68649061,32
33,国道2号,135.1877927,34.68583123,33
34,国道2号,135.1802832,34.67974015,34
35,国道2号,135.1751956,34.67180659,35
36,国道2号,135.1664223,34.66666248,36
37,国道2号,135.1578392,34.66107653,37
38,国道2号,135.1485798,34.65644293,38
39,国道2号,135.1398255,34.65076983,39
40,国道2号,135.1312242,34.64510796,40
41,国道2号,135.1204821,34.6439975,41
42,国道2号,135.1097735,34.64275923,42
43,国道2号,135.1008942,34.63726636,43
44,国道2号,135.0905401,34.63468933,44
45,国道2号,135.0799801,34.63250149,45
46,国道2号,135.0694651,34.62988309,46
47,国道2号,135.0586668,34.62859845,47
48,国道2号,135.0477702,34.6282332,48
49,国道2号,135.037346,34.6301589,49
50,国道2号,135.0298421,34.63683228,50
51,国道2号,135.0212314,34.64227858,51
52,国道2号,135.0110935,34.64551684,52
53,国道2号,135.0002484,34.64683031,53
54,国道2号,134.9895274,34.64782185,54
55,国道2号,134.9796265,34.65125846,55
56,国道2号,134.9724238,34.65777501,56
57,国道2号,134.9648925,34.66407566,57
