目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,8.0,0.0,0.0,0.0,0,0,[]
尼崎市,10.5,10.52,8.0,4.78,0.0,4.78,1,0,[480.0]
西宮市,15.6,15.62,8.0,7.1,0.0,7.1,1,0,[480.0]
芦屋市,19.7,19.73,8.0,8.97,16.0,24.97,2,1,"[480.0, 384.0]"
神戸市東灘区,22.8,22.81,8.0,10.37,16.0,26.37,2,1,"[480.0, 384.0]"
神戸市灘区,25.3,25.3,8.0,11.5,16.0,27.5,2,1,"[480.0, 384.0]"
神戸市中央区,30.1,30.1,8.0,13.68,16.0,29.68,2,1,"[480.0, 384.0]"
神戸市兵庫区,34.0,34.03,8.0,15.47,32.0,47.47,3,2,"[480.0, 384.0, 307.2]"
神戸市長田区,35.2,35.2,8.0,16.0,32.0,48.0,3,2,"[480.0, 384.0, 307.2]"
神戸市須磨区,37.3,37.33,8.0,16.97,32.0,48.97,3,2,"[480.0, 384.0, 307.2]"
神戸市垂水区,45.4,45.43,8.0,20.65,48.0,68.65,4,3,"[480.0, 384.0, 307.2, 245.76]"
明石市,52.7,52.73,8.0,23.97,64.0,87.97,5,4,"[480.0, 384.0, 307.2, 245.76, 196.608]"
神戸市西区,57.4,57.42,8.0,26.1,64.0,90.1,5,4,"[480.0, 384.0, 307.2, 245.76, 196.608]"
