目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,10.0,0.0,0.0,0.0,0,0,[]
尼崎市,10.5,10.53,10.0,4.05,0.0,4.05,1,0,[600.0]
西宮市,15.6,15.6,10.0,6.0,0.0,6.0,1,0,[600.0]
芦屋市,19.7,19.72,10.0,7.58,0.0,7.58,1,0,[600.0]
神戸市東灘区,22.8,22.84,10.0,8.78,0.0,8.78,1,0,[600.0]
神戸市灘区,25.3,25.31,10.0,9.73,0.0,9.73,1,0,[600.0]
神戸市中央区,30.1,30.12,10.0,11.58,14.0,25.58,2,1,"[600.0, 540.0]"
神戸市兵庫区,34.0,34.02,10.0,13.08,14.0,27.08,2,1,"[600.0, 540.0]"
神戸市長田区,35.2,35.23,10.0,13.55,14.0,27.55,2,1,"[600.0, 540.0]"
神戸市須磨区,37.3,37.31,10.0,14.35,14.0,28.35,2,1,"[600.0, 540.0]"
神戸市垂水区,45.4,45.41,10.0,17.47,14.0,31.47,2,1,"[600.0, 540.0]"
明石市,52.7,52.74,10.0,20.28,28.0,48.28,3,2,"[600.0, 540.0, 486.0]"
神戸市西区,57.4,57.42,10.0,22.08,28.0,50.08,3,2,"[600.0, 540.0, 486.0]"
