目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,12.0,0.0,0.0,0.0,0,0,[]
尼崎市,10.5,10.55,12.0,3.77,0.0,3.77,1,0,[720.0]
西宮市,15.6,15.63,12.0,5.58,0.0,5.58,1,0,[720.0]
芦屋市,19.7,19.74,12.0,7.05,0.0,7.05,1,0,[720.0]
神戸市東灘区,22.8,22.82,12.0,8.15,0.0,8.15,1,0,[720.0]
神戸市灘区,25.3,25.34,12.0,9.05,0.0,9.05,1,0,[720.0]
神戸市中央区,30.1,30.1,12.0,10.75,0.0,10.75,1,0,[720.0]
神戸市兵庫区,34.0,34.02,12.0,12.15,12.0,24.15,2,1,"[720.0, 720.0]"
神戸市長田区,35.2,35.23,12.0,12.58,12.0,24.58,2,1,"[720.0, 720.0]"
神戸市須磨区,37.3,37.33,12.0,13.33,12.0,25.33,2,1,"[720.0, 720.0]"
神戸市垂水区,45.4,45.41,12.0,16.22,12.0,28.22,2,1,"[720.0, 720.0]"
明石市,52.7,52.73,12.0,18.83,12.0,30.83,2,1,"[720.0, 720.0]"
神戸市西区,57.4,57.45,12.0,20.52,12.0,32.52,2,1,"[720.0, 720.0]"
