目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,8.0,0.0,0.0,0.0,0,0,[]
吹田市,8.5,8.51,8.0,3.87,0.0,3.87,1,0,[480.0]
茨木市,17.0,17.01,8.0,7.73,0.0,7.73,1,0,[480.0]
高槻市,23.7,23.72,8.0,10.78,16.0,26.78,2,1,"[480.0, 384.0]"
島本町,30.8,30.8,8.0,14.0,16.0,30.0,2,1,"[480.0, 384.0]"
大山崎町,33.5,33.51,8.0,15.23,32.0,47.23,3,2,"[480.0, 384.0, 307.2]"
長岡京市,37.7,37.73,8.0,17.15,32.0,49.15,3,2,"[480.0, 384.0, 307.2]"
向日市,40.9,40.92,8.0,18.6,32.0,50.6,3,2,"[480.0, 384.0, 307.2]"
京都市,50.2,50.23,8.0,22.83,48.0,70.83,4,3,"[480.0, 384.0, 307.2, 245.76]"
大津市,61.5,61.53,8.0,27.97,80.0,107.97,6,5,"[480.0, 384.0, 307.2, 245.76, 196.608, 157.286]"
