目的地,目的地までの距離 (km),移動距離 (km),連続徒歩行動可能時間の初期値 (時),徒歩時間 (時),休憩時間 (時),すべての時間 (時),帰宅行動回数 (回),休憩回数 (回),連続徒歩行動可能時間の履歴 (分)
大阪市,0.0,0.0,12.0,0.0,0.0,0.0,0,0,[]
吹田市,8.5,8.54,12.0,3.05,0.0,3.05,1,0,[720.0]
茨木市,17.0,17.03,12.0,6.08,0.0,6.08,1,0,[720.0]
高槻市,23.7,23.71,12.0,8.47,0.0,8.47,1,0,[720.0]
島本町,30.8,30.8,12.0,11.0,0.0,11.0,1,0,[720.0]
大山崎町,33.5,33.51,12.0,11.97,0.0,11.97,1,0,[720.0]
長岡京市,37.7,37.71,12.0,13.47,12.0,25.47,2,1,"[720.0, 720.0]"
向日市,40.9,40.93,12.0,14.62,12.0,26.62,2,1,"[720.0, 720.0]"
京都市,50.2,50.21,12.0,17.93,12.0,29.93,2,1,"[720.0, 720.0]"
大津市,61.5,61.51,12.0,21.97,12.0,33.97,2,1,"[720.0, 720.0]"
