,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
0,安井小学校,135.334281,34.740107,0.33970354730915325,兵庫県西宮市安井町1-25,880,国道2号_17
1,安井市民館,135.333129,34.739546000000004,0.41426375603888843,兵庫県西宮市安井町2-4,60,国道2号_17
2,浜脇小学校,135.336373,34.732071999999995,0.7300026207435009,兵庫県西宮市浜脇町5-48,1630,国道2号_17
3,浜脇公民館,135.337031,34.731783,0.7559455479131324,兵庫県西宮市浜脇町5-14,160,国道2号_17
4,浜脇中学校,135.334201,34.732338,0.7561595627369753,兵庫県西宮市宮前町3-5,1070,国道2号_17
5,大社小学校,135.336475,34.746328000000005,0.8639601070736258,兵庫県西宮市桜谷町9-7,1340,国道2号_17
6,夙川公民館,135.327868,34.740137,0.8987500229100659,兵庫県西宮市羽衣町1-39,70,国道2号_17
7,大社公民館,135.341267,34.747372999999996,1.0339825991017362,兵庫県西宮市柳本町1-37,150,国道2号_17
8,香櫨園市民館分館,135.326004,34.735743,1.0990890334360117,兵庫県西宮市屋敷町12-1,20,国道2号_17
9,教育文化センター,135.329823,34.730897,1.1054531525764328,兵庫県西宮市川添町15-26,160,国道2号_17
10,香櫨園市民センター,135.328354,34.731324,1.1622152339352616,兵庫県西宮市川西町4-5,90,国道2号_17
11,県立西宮香風高等学校,135.332529,34.728775,1.1798157435462158,兵庫県西宮市建石町7-43,620,国道2号_17
12,勤労会館,135.34506399999998,34.736243,0.3395724178793115,兵庫県西宮市松原町2-37,940,国道2号_16
13,中市民館,135.344089,34.743193,0.737271557290391,兵庫県西宮市中前田町8-11,50,国道2号_16
14,用海小学校,135.343872,34.731883,0.7558719493070446,兵庫県西宮市用海町3-54,1120,国道2号_16
15,平木小学校,135.349513,34.745678999999996,0.9042452785530827,兵庫県西宮市平木町4-1,1030,国道2号_16
16,平木中学校,135.34928,34.746367,0.978130806038986,兵庫県西宮市平木町6-19,1100,国道2号_16
17,中央体育館,135.344805,34.747806,1.1812298060708908,兵庫県西宮市河原町1-16,890,国道2号_16
18,深津中学校,135.357799,34.739323999999996,0.3932317953136949,兵庫県西宮市深津町6-75,1120,国道2号_15
19,深津小学校,135.357218,34.740379,0.521440343808812,兵庫県西宮市深津町5-22,488,国道2号_15
