,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
0,烏帽子中学校,135.2376273,34.710671999999995,0.6556924842529849,神戸市灘区烏帽子町1-2-1,1186,国道2号_26
1,灘小学校,135.23254609999998,34.713255600000004,1.0369110620586697,神戸市灘区千旦通1-5-1,1160,国道2号_26
2,六甲小学校,135.2333847,34.7176856,1.0620454075958534,神戸市灘区八幡町4-4-1,1160,国道2号_26
3,御影高校,135.250575,34.716960799999995,0.322871160626576,神戸市東灘区御影石町4-1-1,943,国道2号_25
4,御影小学校,135.2515083,34.714811100000006,0.33851733194579053,神戸市東灘区御影石町3-1-1,1160,国道2号_25
5,御影公会堂,135.24925119999997,34.7160708,0.45559677693920975,神戸市東灘区御影石町4-4-1,192,国道2号_25
6,御影北小学校,135.2488056,34.7246294,0.9767223973092579,神戸市東灘区御影山手1-12-1,1160,国道2号_25
7,鷹匠中学校,135.2438533,34.7201547,1.0021990785777757,神戸市灘区高徳町2-2-19,1186,国道2号_25
8,成徳小学校,135.2422119,34.7156136,1.0995412280369816,神戸市灘区備後町1-3-1,1160,国道2号_25
9,住之江公民館別館,135.2646774,34.7143023,0.5622599484846832,神戸市東灘区住吉宮町2-1-3,192,国道2号_24
10,住之江公民館,135.2636564,34.7139751,0.604331854711319,神戸市東灘区住吉宮町2-2-3,192,国道2号_24
11,住吉中学校,135.2587214,34.725862799999994,0.8978033648541754,神戸市東灘区住吉山手1-11-1,275,国道2号_24
