,施設名,経度,緯度,距離 (km),住所,収容人数,loc_name
0,堂島地域集会所、堂島・中之島憩の家,135.494302,34.697114,0.17411325298094815,大阪府大阪市北区堂島2-2-26,62,国道2号_1
1,もと・大阪北小学校,135.500912,34.701392,0.6095454913137809,大阪府大阪市北区曽根崎2-15-14,1800,国道2号_1
2,もと・梅田東小学校,135.5000985,34.70561644,0.908450018137424,大阪府大阪市北区茶屋町1-40,2150,国道2号_1
3,上福島小学校,135.485108,34.69717,0.943650325249155,大阪府大阪市福島区福島7-4-33,1300,国道2号_1
4,大淀中学校,135.486524,34.703669,0.9896619833472814,大阪府大阪市北区大淀中2-1-11,6000,国道2号_1
5,もと・扇町高等学校,135.488913,34.691198,0.9947100817257506,大阪府大阪市北区中之島5-3-96,3100,国道2号_1
6,西天満小学校,135.50716609999998,34.69665629,1.10635068489533,大阪府大阪市北区西天満3-12-21,1250,国道2号_1
7,西船場小学校,135.493719,34.688393,1.125477076517929,大阪府大阪市西区江戸堀1-21-28,1750,国道2号_1
8,天満中学校,135.506662,34.703253000000004,1.1700432480888248,大阪府大阪市北区神山町12-9,5500,国道2号_1
9,福島小学校,135.483525,34.693448,0.20607506003880985,大阪府大阪市福島区福島4-5-6,1200,国道2号_2
10,玉川小学校,135.480664,34.691891999999996,0.516682553571205,大阪府大阪市福島区玉川2-13-16,1000,国道2号_2
11,鷺洲小学校,135.47910900000002,34.698836,0.7067675249846596,大阪府大阪市福島区鷺洲5-6-8,1200,国道2号_2
12,下福島中学校,135.481831,34.688476,0.7613995206944438,大阪府大阪市福島区玉川1-4-11,1000,国道2号_2
13,八阪中学校,135.47797,34.700891,0.9385060021881169,大阪府大阪市福島区鷺洲6-1-13,1000,国道2号_2
14,花乃井中学校,135.48905200000002,34.686421,0.9980047329224553,大阪府大阪市西区江戸堀2-8-29,1389,国道2号_2
15,海老江東小学校,135.475414,34.699114,1.0063465547344754,大阪府大阪市福島区海老江1-6-19,1500,国道2号_2
16,大開小学校,135.470609,34.692586999999996,0.4284039761013059,大阪府大阪市福島区大開2-10-28,650,国道2号_3
17,吉野小学校,135.473081,34.69042,0.42991674186608303,大阪府大阪市福島区吉野3-10-5,1500,国道2号_3
18,西野田工科高等学校,135.469526,34.693225,0.5061341008704059,大阪府大阪市福島区大開2-17-62,6000,国道2号_3
19,海老江西小学校,135.470193,34.697697,0.6029217173607163,大阪府大阪市福島区海老江8-1-10,1800,国道2号_3
20,野田小学校,135.473609,34.686365,0.8523681145902983,大阪府大阪市福島区野田5-13-22,1450,国道2号_3
